gene	nlp	trait	rsid	explanation	explanation_source	gwas_source	annotation_source
ACY1	210.75	N-acetylalanine	rs121912698	ACY1 encodes an aminoacylase which specifically hydrolyzes acylated amino acids.  Rare disease results in increased urine levels of N-acetylated amino acids.  Acetylmethionine is a substrate for the aminoacylase.	18222180	36357675	36357675
ACY3	99.24	N-acetyltryptophan	rs948445	ACY3 encodes an aminoacylase which preferentially deacetylates N-acetylaromatic amino acids including N-acetyl-L-phenylalanine.	14656720	36357675	36357675
ADA	30.16	N1-methyladenosine	rs6103815	ADA encodes adenosine deaminase which converts adenosine to inosine.  The observed metabolite at this locus, N1-methyladenosine, is derived from adenosine.	16747549	36357675	36357675
ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7	26.549289121853082	gluconate	rs138883026	ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7 encode a set of alcohol dehydrogenases which convert a free alcohol group to an aldehyde. The observed metabolite, gluconate, has multiple alcohol groups and represents a potential substrate	33415501	35347128	35347128
ADHFE1	11	Blood metabolite levels (X-04499--3,4-dihydroxybutyrate)	rs1030420	ADHFE1 encodes the hydroxyacid-oxoacid transhydrogenase which catalyzes the oxidation of 4-hydroxybutanoic acid to 4-oxobutanoic acid, while reducing 2-oxoglutarate to 2-hydroxyglutarate.	16616524	24816252	30239796
ADSL	50.78	O-sulfo-L-tyrosine/N6-succinyladenosine	rs8135371	ADSL encodes adenylosuccinate lyase which converts adenylosuccinate to adenosine monophosphate.  N6-succinyladenosine, the metabolite observed at this locus, is the dephosphorylated version of the substrate adenylosuccinate.  Rare loss of function of this enzyme results in elevated circulating levels of N6-succinykladenosine.	5432795	36357675	36357675
AFMID	217.02017856996977	N-formylanthranilic acid	rs77585764	AFMID encodes arylformamidase which can act on the metabolite observed here, n-formylanthranilic acid	14794728	35347128	35347128
AGA	106.52	aspartate/asparagine	rs13149149	AGA encodes the enzyme aspartylglucosaminidase which generates asparagine from N-acetylglucosamines.  Deficiency results in an accumulation of asparagine-linked glycopeptides.	1281977	36357675	36357675
AGMAT	372.32	4-guanidinobutanoate/methionine sulfoxide	rs34098917	AGMAT encodes agmatinase which converts agmatine to putrescine.  Agmatine itself is derived from arginine.  The observed metabolite, 4-guanidinobutanoate, is an alternate derivate of arginine.	8858963	36357675	36357675
AGPAT1	71.18	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)/1,2-dipalmitoyl-GPC (16:0/16:0)	rs1061808	AGPAT1 encodes 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha, an enzyme which produces phosphatidic acid.	17707131	36357675	36357675
AGPAT2	13.72	1-docosapentaenoyl-GPC (22:5n3)*	rs2236514	AGPAT2 encodes a lysophosphatidic acid acyltransferase which acts on lysolipids related to the metabolite observed here.	21873652	36357675	36357675
AGPAT3	8.47	1-docosapentaenoyl-GPC (22:5n3)*	rs62229686	AGPAT3 encodes a lysophosphatidic acid acyltransferase which converts a lysolipid to phospholipid which shows activity against lysophosphatidylcholines similar to the metabolite observed at this locus, 1-docosapentaenoyl-GPC.	21173190	36357675	36357675
AGPS	9.39	PC ae C44:5	rs7582179	AGPS encodes the alkylglycerone phosphate synthase which generates ether phospholipids such as the metabolite detected here.	10215861	26068415	30239796
AGXT	17.159	alpha-ketoisovalerate|urine	rs6748734	AGXT encodes alanine-glyoxylate aminotransferase.  When acting on valine, rather than alanine, as a substrate, the enzyme will produce alpha-ketoisovaleric acid as a product (see EC code EC 2.6.1.66).  The mouse and rat orthologs have demonstrated activity on valine.	629740	26352407	30239796
AGXT2	859.99	3-aminoisobutyrate/creatinine	rs37370	AGXT2 encodes an alanine-glyoxylate aminotransferase, an enzyme which can take 3-aminoisobutyrate as a substrate.	8427875|5773299	36357675	36357675
AHR	62.91	7-methylxanthine/theobromine	rs6968865	AHR encodes the aromatic hydrocarbon receptor, a transcription factor which activates CYP1A1 and CYP1A2.  These enzymes metabolize caffeine, leading to the metabolites associated with this locus.  Variants at CYP1A2 are associated with these same metabolites.	10605936|8095225	36357675	36357675
AKR1A1	122.76548271648731	ribitol	rs2229540	AKR1A1 encodes an aldehyde reductase which can catalyze the production of erythritol, one of the metabolites associated with this variant.	4402936	35347128	35347128
AKR1C1|AKR1C2|AKR1C3|AKR1C4	132.61	epiandrosterone sulfate/5alpha-androstan-3alpha,17alpha-diol monosulfate	rs146562425	AKR1C4 encodes a 3 alpha-hydroxysteroid dehydrogenase (HSD) isoform, which is expressed in the liver and acts on androsterone.   The nearby paralogous gene AKR1C3 is expressed in prostate and mammary gland and the encoded enzyme does not act on androsterone.	15026176	36357675	36357675
AKR1D1	16.12	etiocholanolone glucuronide	rs112737566	AKR1D1 encodes a steroid 5beta-reductase which reduces the double bond between the 4 and 5 carbon positions in the steroid backbone of many human metabolites including androst-4-ene-3,17-dione, generating 5beta-androstane-3,17-dione, also known as etiocholanedione.  This is then converted to etiocholanolone, which is then glucuronidated for elimination, producing the named metabolite observed at this locus.	11342103	36357675	36357675
AKT1	8.019	HDL Cholesterol	rs4983559	AKT1 encodes a protein kinase which activates SREBP which induces transcription of enzymes involved in cholesterol biosynthesis.	16007182	GLGC	30239796
ALAD	13.398	Lead levels in blood	rs1805313	ALAD encodes aminolevulinate dehydratase, an enzyme which binds to lead.	1713045	25820613	30239796
ALDH18A1	10.097	Blood metabolite levels (citrulline)	rs56322409	ALDH18A1 encodes delta-1-pyrroline-5-carboxylate synthetase which catalyzes a step in the de novo production of ornithine which is subsequently converted to citrulline.  Mutations in ALDH18A1 cause hypocitrullinemia.	11092761	24816252	30239796
ALDH1L1	26.5	serine/glycine	rs10934753	ALDH1L1 encodes the formyltetrahydrofolate dehydrogenase which converts formyltetrahydrofolate to tetrahydrofolate as part of the one carbon metabolism cycle.  Glycine can be used to rechard tetrahydrofolate to methylenetetrahydrolate via glycine dehydrogenase (GLDC).	7702556|4585091	36357675	36357675
ALDH4A1	35.036212172654444	S-1-pyrroline-5-carboxylate	rs61757683	ALDH4A1 encodes delta-1-pyrroline-5-carboxylate dehydrogenase which converts pyrroline-5-carboxylate to glutamate in the breakdown of proline.	2211729	35347128	35347128
ALDH7A1	71.65227978296596	6-oxopiperidine-2-carboxylate	rs79449010	ALDH7A encodes an aldehyde dehydrogenase which produces alpha-aminoadipic acid in the pipecolic acid pathway of lysine catabolism.  Alpha-aminoadipic acid can be cyclized to form the observed metabolite, 6-oxopiperidine-2-carboxylic acid, although the exact mechanism in humans in unknown.	16491085|9544928	35347128	35347128
ALOX12	22.699	Blood metabolite levels (X-12441--12-hydroxyeicosatetraenoate (12-HETE))	rs2271316	ALOX12 encodes arachidonate 12-lipoxygenase, which catalyzes the regio-selective addition of oxygen into arachidonic acid, generating 12R-hydroperoxyeicosatetraenoic acid (12R-HPETE).  12R-HPETE is rapidly reduced to the corresponding 12S-hydroxy compound, 12-HETE.	4215079, 2377602	24816252	30239796
ALOX5	12.038531444649214	arachidonoylcarnitine (C20:4)	rs71515366	ALOX5 encodes arachidonate 5-lipoxygenase, which adds oxygen to arachidonate and related fatty acids.  arachidonoylcarnitine is derived from arachidonate.	6432877	35347128	35347128
ALPL	37.29	choline phosphate	rs4654748	ALPL encodes the liver alkaline phosphatase.  Loss of function of alkaline phosphatase causes hypophosphatasia.	3174660	36357675	36357675
AMDHD1	8.98	hydantoin-5-propionic acid	rs4762256	AMDHD1 encodes an imidazolonepropionase (EC 3.5.2.7) which converts 4-Imidazolone-5-propanoate to N-formimino-L-glutamate.  The former metabolite can also be converted to the metabolite observed here, hydantoin-5-propionate.	13914653	36357675	36357675
AMPD2	99.57	3,7-dimethylurate/7-methylxanthine	rs36209093	AMPD2 encodes liver paralog of AMP deaminase which converts AMP to IMP.  3,7-dimethylurate is a closely related metabolite and may be a downstream metabolite of IMP.	14081922	36357675	36357675
ANGPTL3	81.456	Triglycerides	rs4587594	ANGPTL3 encodes a protein that regulates triglyceride clearance by reducing the activity of lipoprotein lipase (LPL).	22063269	GLGC	30239796
ANGPTL4	36.538	Triglycerides	rs116843064	ANGPTL4 regulates TG clearance by reducing the activity of LPL	16081640	24507774	30239796
ANGPTL8	9.09	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	rs66466742	ANGPTL8 encodes angiopoietin like 8 which works with angiopoietin like 3 (ANGPTL3) to inhibit lipoprotein lipase (LPL) and triglyceride clearance.  This then influences levels of other specific lipid species.	28413163|22063269|13712364	36357675	36357675
ANPEP	11.531357331608488	phenylalanylphenylalanine	rs28463231	ANPEP encodes Aminopeptidase N, which is a broad specificity aminopeptidase.	7957888|9647737	35347128	35347128
AOC1	49.984640244590786	(N(1) + N(8))-acetylspermidine	rs7794796	AOC1 encodes an amine oxidase which deaminates N1-acetylspermidine to produce N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide (also known as acisoga).  	12072962	35347128	35347128
AOX1	20.32	7-methylguanine	rs55754655	AOX1 encodes an aldehyde oxidase which can act on many substrates including purines.  Activity against the observed metabolite, 7-methylguanine, has been reported.	5044040	36357675	36357675
APOA1|APOA4|APOA5|APOC3	43.82	1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)	rs964184	The APOA5/APOA4/APOA1/APOC3 gene cluster encodes a set of related apolipoproteins involved in trafficking of apolipoprotein particles. This influences abundance and distribution of a multitude of lipid species.		36357675	36357675
APOA2	10.495	XL.HDL.PL	rs4503368	APOA2 encodes apolipoprotein A-II, a major component of HDL particles	24089247	27005778	30239796
APOB	182.023	LDL Cholesterol	rs1367117	APOB encodes apolipoprotein B, a major component of LDL particles.  Defects in APOB can lead to familial hypercholesterolemia.	52771	GLGC	30239796
APOC1|APOC2|APOC4|APOE	41.79	cholesterol/1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	rs7412	APOE/APOC1/APOC2/APOC4 encode a set of related apolipoproteins involved in lipoprotein particle trafficking.  Any or all of them could be influencing levels of various lipid species.		36357675	36357675
APOH	11.008	LDL Cholesterol	rs1801689	ApoH increases the enzymic activity of lipoprotein lipase (LPL) in the presence of apoC-II by 45.7 percent [ 7417307].  a small molecule inhibitor of PKC alpha, HBDDE, show minimal inhibition of cholesterol accumulation while a small molecule inhibitor of PKC beta, LY333513, could completely account for the inhibition of cholesterol accumulation by the classical group PKC isoenzyme [16930534]	7417307	GLGC	30239796
AQP10	21.06	arabonate/xylonate	rs6685323	AQP10 encodes an aquaglyceroporin which transports water and glycerol and larger molecules including xylitol.	21733844	36357675	36357675
ARG1	43.65	arginine	rs17788484	ARG1 encodes an arginase which hydrolyzes arginine.  Enzyme deficiency causes argininemia.	3540966	36357675	36357675
ARSA	54.37	O-sulfo-L-tyrosine/pseudouridine	rs6151429	ARSA encodes the arylsulfatase A, which can act on L-tyrosine O-sulfate.	33715	36357675	36357675
ARSD|ARSL	48.19873352951038	ascorbic acid 3-sulfate	rs1637781	ARSD|ARSL encode a pair of aryl sulfatases.  The homologs ARSA and ARSB act on ascorbic acid 2-sulfate.  Ascorbic acid 3-sulfate is a plausible substrate for one or both proximal enzymes.	28257906|33715	35347128	35347128
AS3MT	8.523	Arsenic metabolism  (DMA%)	rs9527	AS3MT encodes arsenite methyltransferase which acts on methylarsonite to produce dimethylarsinate (also known as cacodylate)	20621156	22383894	30239796
ASPG	230.99	glutamine/asparagine	rs8012505	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid.	9575212	36357675	36357675
ASRGL1	14.742561433140187	asparagine	rs138510246	ASRGL1 encodes an asparaginase which hydrolyzes asparagine to produce aspartate.	24768817	35347128	35347128
ASS1	23.3	citrulline	rs7870202	ASS1 encodes argininosuccinate synthase takes citrulline as a substrate.	6194510	36357675	36357675
ATP10A	10.38	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	rs11161244	ATPA10 encodes a phospholipid flippase with specific activity towards phosphatidylcholine.	25947375	36357675	36357675
ATP10D	152.61	palmitoyl sphingomyelin (d18:1/16:0)/glycosyl-N-palmitoyl-sphingosine	rs35818294	ATP10D encodes a phospholipid flippase.  Closely related gene family members have demonstrated activity versus phosphatidylcholine.	25947375	36357675	36357675
BBOX1	23.11	deoxycarnitine	rs201184146	BBOX1 encodes gamma-butyrobetaine hydroxylase which converts the observed metabolite, deoxycarnitine (also known as gamma-butyrobetaine) into carnitine.	7156861	36357675	36357675
BCAT1	60.15	4-methyl-2-oxopentanoate/3-methyl-2-oxobutyrate	rs11047635	BCAT1 encodes a branched chain amino acid transaminase which converts each of the three branched chain amino acids into the corresponding branched chain keto acids.  4-methyl-2-oxopentanoate is the product of the transamination of leucine.  Rare disease results in elevated levels of all 3 branched chain amino acids	641889	36357675	36357675
BCAT2	8.46	valine	rs4801776	BCAT2 encodes a branched chain amino acid transaminase which converts each of the three branched chain amino acids into the corresponding branched chain keto acids.  Valine is a substrate of the enzyme.  Rare disease results in elevated levels of all 3 branched chain amino acids.	641889	36357675	36357675
BCO1	121.61996975203218	carotene diol (1)	rs11643509	BCO1 (previously referred to as BCMO1) encodes beta-carotene oxygenase 1 which uses a molecule of oxygen to produce two molecules of retinol from beta-carotene.  Enzyme deficiency results in accumulation of beta-carotene.	11401432	35347128	35347128
BHMT|DMGDH	184.17	dimethylglycine/phenylalanine	rs145258663	DMGDH encodes dimethylglycine dehydrogenase which takes dimethlyglycine as a substrate.  Enzyme deficiency results in excess dimethlyglycine.	10102904	36357675	36357675
CASR	85.046	Calcium levels	rs1801725	CASR encodes the calcium sensing receptor, a GPCR which binds calcium and regulates parathyroid hormone secretion which in turn regulates circulating levels of calcium.	11013439	24068962	30239796
CAV1	7.676	Triglycerides	rs38855	CAV1 encodes caveolin-1, a scaffolding protein.  Very rare CAV1 frameshift mutations appear to be associated with atypical lipodystrophy and hypertriglyceridemia.	18237401	GLGC	30239796
CBS	25.523	Plasma homocysteine levels (post-methionine load test)	rs234714	CBS encodes the cystathionine beta-synthase which acts on homocysteine to produce cystathionine	16545978	24651765	30239796
CD36	9.222	HDL cholesterol (AA)	rs2366858	CD36 encodes a platelet glycoprotein which binds HDL	9867808	23726366	30239796
CDA	17.82	uridine	rs66731853	CDA encodes cytidine deaminase which deaminates cytidine, producing uridine, the metabolite observed here.	8422236	36357675	36357675
CDO1	11.49	hypotaurine	rs12651799	CDO1 encodes cysteine dioxygenase which catalyzes the first step in the conversion of cysteine to the observed metabolite, hypotaurine.	2307	36357675	36357675
CERS1	105.66394072213365	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	rs1013893365	CERS1 encodes a ceramide synthase with specificity for C18 fatty acids. Sphingomyelins can be synthesized from ceramides.	12105227	35347128	35347128
CERS4	176.85	palmitoyl sphingomyelin (d18:1/16:0)/sphingomyelin (d18:1/20:1, d18:2/20:0)*	rs922442	CERS4 encodes a ceramide synthase which produces ceramides from sphingosine and a long chain acyl CoA, derived from long chain free fatty acids.	12912983	36357675	36357675
CERS5	8.05	sphingomyelin (d18:2/14:0, d18:1/14:1)*	rs143955263	CERS5 encodes a ceramide synthase which creates a palmitate-containing ceramide.  The ceramides are metabolically related to sphingomyelin.	16100120	36357675	36357675
CETP	801.939	HDL Cholesterol	rs247616	CETP encodes the cholesterol ester transfer protein which acts on high density lipoprotein (HDL).  Deficiency of this enzyme results in increased HDL. 	2586614	GLGC	30239796
CHKA	15.014932966849498	choline phosphate	rs7940113	CHKA encodes choline kinase. The observed metabolite, choline phosphate, is the product of the reaction.	4373031	35347128	35347128
COMT	184.7632109005907	2-O-methylascorbic acid	rs4680	COMT encodes the catechol-O-methyltransferase which can methylate L-dopa to produce the metabolite observed here, 3-methoxytyrosine.	13575440	35347128	35347128
CPS1	564.84	glutamine/glycine	rs1047891	CPS1 encodes a mitochondrial carbamoyl phosphate synthetase which takes ammonia as a substrate.   Glycine and ammonia are interconverted via the glycine cleavage complex.	18941301	36357675	36357675
CPT1A	42.196201592010325	cerotoylcarnitine (C26)	rs189174414	CPT1A encodes a carnitine O-palmitoyltransferase	1865762	35347128	35347128
CPT2	157.11	adipoylcarnitine/glutarylcarnitine (C5)	rs1134688	CPT2 encodes carnitine palmitoyltransferase II, which catalyzes the transfer of palmitate and related metabolites from carnitine to coenzyme A in the mitochondrial inner membrane.	9654057	36357675	36357675
CRAT	82.375	Methylmalonylcarnitine	rs746872	CRAT encodes carnitine O-acetyltransferase, which catalyzes the interconversion of short chain acylcarnitines and acyl-coenzyme A derivatives. 	2351134	26401656	30239796
CRYL1	12.37706103078851	mannonate	rs9552189	CRYL1 encodes an enzyme with gulonate dehydrogenase activity.  Mannonate is a closely related molecule and potential substrate.	15809331	35347128	35347128
CSAD	9.4	hypotaurine	rs149264090	CSAD encodes cysteine sulfinic acid decarboxylase which produces the metabolite observed here, hypotaurine.	11997111	36357675	36357675
CTH	137.6	cystathionine/gamma-glutamylphenylalanine	rs28941785	CTH encodes cystathionine gamma-lyase which produces cysteine from cystathionine	10212249	36357675	36357675
CUBN	12.699	Vitamin B levels in ischemic stroke (Vitamin B12)	rs1801222	CUBN encodes cubilin, a protein involved in the uptake of vitamin B12 (cobalamin).  CUBN deficiency results in reduced levels of cobalamin.	9478979	25147783	30239796
CYP3A4|CYP3A43|CYP3A5|CYP3A7	2287.58	androsterone sulfate/16a-hydroxy DHEA 3-sulfate	rs45446698	These three paralogs encode cytochrome P450 enzymes, all of which can act on testosterone and other metabolites related to the observed metabolites		36357675	36357675
D2HGDH	64.9519468268844	2-hydroxyglutarate	rs146578303	D2HGDH encodes a D-2-hydroxyglutarate dehydrogenase which takes 2-hydroxyglutarate as a substrate.  The observed metabolite, 2-hydroxybutyrate, is a closely related metabolite.	7564244	35347128	35347128
DBH	14.746904414150968	vanillylmandelate (VMA)	rs77273740	DBH encodes the copper-containing dopamine beta-hydroxylase which converts dopamine to noradrenaline, a precursor for vanillylmandelate, the metabolite observed here.  It's also possible the observed metabolite could be a product of this enzyme acting on homovanillate.  The ratio of these two metabolites is a biomarker for dopeamine beta-hydroxylase activity.	14253475|15702409	35347128	35347128
DCXR	7.34	arabitol/xylitol	rs72861739	DCXR encodes a xylulose reductase which interconverts xylitol and xylulose	11882650	36357675	36357675
DDAH1	40	Serum dimethylarginine levels (asymmetric)	rs28489187	DDAH1 encodes dimethylarginine dimethylaminohydrolase which acts directly on dimethylarginine.	7608105	24159190	30239796
DDC	46.89	3-methoxytyrosine/indoleacetate	rs930707	DDC encodes dopa decarboxylase which converts tryptophan to tryptamine, which can be further metabolized to indoleacetic acid.	13610897	36357675	36357675
DEGS1	28.35	palmitoyl dihydrosphingomyelin (d18:0/16:0)*/palmitoyl sphingomyelin (d18:1/16:0)	rs145711419	DEGS1 encodes sphingolipid delta 4-desaturase which introduces a double bond at the 4 position in sphingomyelin.  The observed metabolite, palmitoyl dihydrosphingomyelin, should be a substrate for this enzyme.	11937514	36357675	36357675
DGAT2|MOGAT2	29.38	1-dihomo-linolenoyl-GPC (20:3n3 or 6)*/1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	rs559355	DGAT2 and MOGAT2 are both liver enriched enzymes involved in triglyceride metabolism.  Both could influence lipid metabolism in general including the metabolites observed here.		36357675	36357675
DHCR7	26.699	Vitamin D insufficiency	rs12785878	DHCR7 encodes 7-dehydrocholesterol reductase, which acts on 7-dehydrocholesterol, a precursor of vitamin D.	10807690	20541252	30239796
DHDH	11.70730099695607	arabinose	rs35230038	DHDH encodes dihydrodiol dehydrogenase which can oxidize the observed metabolite, arabinose, generating the corresponding lactone.	11306093	35347128	35347128
DHTKD1	45.471597562046384	1-ribosyl-imidazoleacetate	rs7094385	DHTKD1 encodes an enzyme which decarboxylates 2-oxoadipate and produces glutaryl-CoA.	23141293	35347128	35347128
DIO1	31.097	Thyroid hormone levels (FT4: free thyroxine)	rs2235544	DIO1 encodes an iodothyronine deiodinase which deiodinates of thyroxine (T4) to produce the biologically active hormone T3	1400883	23408906	30239796
DPEP1	130.94	sphingosine 1-phosphate/cys-gly, oxidized	rs409170	DPEP1 encodes a dipeptidase that acts on glutathione, which is a downstream product of homocysteine metabolism. Glutathione and homocysteine levels have been shown to be negatively correlated.	6122685	36357675	36357675
DPYD	147.23232477597205	uracil	rs3918290	DPYD encodes dihydropyrimidine dehydrogenase which catalyzes the first step in the breakdown of uracil, the metabolite observed here.	8083224	35347128	35347128
ECHDC1	63.22	ethylmalonate/butyrylcarnitine	rs189702295	ECHDC1 encodes ethylmalonyl-CoA decarboxylase converts ethylmalonyl-CoA to butyryl-CoA.	22016388	36357675	36357675
